Date,Age Groups,Gender,State,Veterans
9/30/2021,35-39,Male,District of Columbia,1660.98477
9/30/2021,35-39,Male,Florida,56115.94393
9/30/2021,35-39,Male,Georgia,31051.4387
9/30/2021,35-39,Male,Hawaii,6002.047723
9/30/2021,35-39,Male,Idaho,5361.285984
9/30/2021,35-39,Male,Illinois,26111.71541
9/30/2021,35-39,Male,Indiana,17422.85805
9/30/2021,35-39,Male,Iowa,8450.785786
9/30/2021,35-39,Male,Island Areas & Foreign,3681.204444
9/30/2021,35-39,Male,Kansas,10532.68487
9/30/2021,35-39,Male,Kentucky,12816.74802
9/30/2021,35-39,Male,Louisiana,14479.37119
9/30/2021,35-39,Male,Maine,3758.664707
9/30/2021,35-39,Male,Maryland,16724.31088
9/30/2021,35-39,Male,Massachusetts,12006.28958
9/30/2021,35-39,Male,Michigan,20793.93508
9/30/2021,35-39,Male,Minnesota,12482.34026
9/30/2021,35-39,Male,Mississippi,8274.740188
9/30/2021,35-39,Male,Missouri,17869.68815
9/30/2021,35-39,Male,Montana,4000.813442
9/30/2021,35-39,Male,Nebraska,6326.589241
9/30/2021,35-39,Male,Nevada,10253.31236
9/30/2021,35-39,Male,New Hampshire,3605.731988
9/30/2021,35-39,Male,New Jersey,13130.56631
9/30/2021,35-39,Male,New Mexico,6044.32269
9/30/2021,35-39,Male,New York,29649.11953
9/30/2021,35-39,Male,North Carolina,30714.8981
9/30/2021,35-39,Male,North Dakota,3001.976664
9/30/2021,35-39,Male,Ohio,29861.2653
9/30/2021,35-39,Male,Oklahoma,15679.25439
9/30/2021,35-39,Male,Oregon,12552.52139
9/30/2021,35-39,Male,Pennsylvania,29199.42743
9/30/2021,35-39,Male,Puerto Rico,1881.607589
9/30/2021,35-39,Male,Rhode Island,2574.746295
9/30/2021,35-39,Male,South Carolina,16212.86737
9/30/2021,35-39,Male,South Dakota,3118.921213
9/30/2021,35-39,Male,Tennessee,18912.7747
9/30/2021,35-39,Male,Texas,89036.14792
9/30/2021,35-39,Male,Utah,7685.731742
9/30/2021,35-39,Male,Vermont,1514.980326
9/30/2021,35-39,Male,Virginia,36867.61269
9/30/2021,35-39,Male,Washington,27373.6451
9/30/2021,35-39,Male,West Virginia,5410.036412
9/30/2021,35-39,Male,Wisconsin,13477.75115
9/30/2021,35-39,Male,Wyoming,2197.485045
9/30/2021,40-44,Female,Alabama,4384.48504
9/30/2021,40-44,Female,Alaska,1120.356057
9/30/2021,40-44,Female,Arizona,4784.169735
9/30/2021,40-44,Female,Arkansas,1811.107116
9/30/2021,40-44,Female,California,16802.81194
9/30/2021,40-44,Female,Colorado,4894.014963
9/30/2021,40-44,Female,Connecticut,1322.941528
9/30/2021,40-44,Female,Delaware,721.6738496
9/30/2021,40-44,Female,District of Columbia,523.2612671
9/30/2021,40-44,Female,Florida,15869.79883
9/30/2021,40-44,Female,Georgia,10336.32979
9/30/2021,40-44,Female,Hawaii,1767.472779
9/30/2021,40-44,Female,Idaho,1090.247714
9/30/2021,40-44,Female,Illinois,5768.967715
9/30/2021,40-44,Female,Indiana,2976.074048
9/30/2021,40-44,Female,Iowa,1569.923497
9/30/2021,40-44,Male,South Dakota,3215.272263
9/30/2021,40-44,Female,Island Areas & Foreign,573.1328051
9/30/2021,40-44,Female,Kansas,2105.51966
9/30/2021,40-44,Female,Kentucky,2539.116068
9/30/2021,40-44,Female,Louisiana,4103.234129
9/30/2021,40-44,Female,Maine,804.9031402
9/30/2021,40-44,Female,Maryland,6086.463481
9/30/2021,40-44,Female,Massachusetts,2323.197676
9/30/2021,40-44,Female,Michigan,4016.282144
9/30/2021,40-44,Female,Minnesota,2489.304596
9/30/2021,40-44,Female,Mississippi,2466.370562
9/30/2021,40-44,Female,Missouri,3883.042286
9/30/2021,40-44,Female,Montana,941.3361888
9/30/2021,40-44,Female,Nebraska,1286.579187
9/30/2021,40-44,Female,Nevada,2513.026412
9/30/2021,40-44,Female,New Hampshire,712.8935155
9/30/2021,40-44,Female,New Jersey,2932.128469
9/30/2021,40-44,Female,New Mexico,1633.337179
9/30/2021,40-44,Female,New York,6513.951815
9/30/2021,40-44,Female,North Carolina,8567.725418
9/30/2021,40-44,Female,North Dakota,638.2143314
9/30/2021,40-44,Female,Ohio,6179.136413
9/30/2021,40-44,Female,Oklahoma,3391.976692
9/30/2021,40-44,Female,Oregon,2419.305877
9/30/2021,40-44,Female,Pennsylvania,6200.885524
9/30/2021,40-44,Female,Puerto Rico,406.9266158
9/30/2021,40-44,Female,Rhode Island,544.5015599
9/30/2021,40-44,Female,South Carolina,4889.299277
9/30/2021,40-44,Female,South Dakota,767.9468337
9/30/2021,40-44,Female,Tennessee,4390.735145
9/30/2021,40-44,Female,Texas,22679.63713
9/30/2021,40-44,Female,Utah,1315.953103
9/30/2021,40-44,Female,Vermont,295.8180186
9/30/2021,40-44,Female,Virginia,12646.56061
9/30/2021,40-44,Female,Washington,6172.090336
9/30/2021,40-44,Female,West Virginia,1160.192967
9/30/2021,40-44,Female,Wisconsin,2930.994752
9/30/2021,40-44,Female,Wyoming,516.9409956
9/30/2021,40-44,Male,Alabama,16369.57687
9/30/2021,40-44,Male,Alaska,4389.510689
9/30/2021,40-44,Male,Arizona,22004.50931
9/30/2021,40-44,Male,Arkansas,9270.867492
9/30/2021,40-44,Male,California,83497.364
9/30/2021,40-44,Male,Colorado,20210.57061
9/30/2021,40-44,Male,Connecticut,6331.046176
9/30/2021,40-44,Male,Delaware,2553.033352
9/30/2021,40-44,Male,District of Columbia,1850.04731
9/30/2021,40-44,Male,Florida,60576.4556
9/30/2021,40-44,Male,Georgia,33420.1992
9/30/2021,40-44,Male,Hawaii,6754.531329
9/30/2021,40-44,Male,Idaho,5570.261258
9/30/2021,40-44,Male,Illinois,27446.05555
9/30/2021,40-44,Male,Indiana,16319.73259
9/30/2021,40-44,Male,Iowa,8124.760218
9/30/2021,40-44,Male,Island Areas & Foreign,4095.869209
9/30/2021,40-44,Male,Kansas,10161.26513
9/30/2021,40-44,Male,Kentucky,13122.15624
9/30/2021,40-44,Male,Louisiana,16233.43606
9/30/2021,40-44,Male,Maine,4062.586639
9/30/2021,40-44,Male,Maryland,19162.44491
9/30/2021,40-44,Male,Massachusetts,11814.8006
9/30/2021,40-44,Male,Michigan,19585.37373
9/30/2021,40-44,Male,Minnesota,11600.95607
9/30/2021,40-44,Male,Mississippi,9011.57467
9/30/2021,40-44,Male,Missouri,18140.74471
9/30/2021,40-44,Male,Montana,4131.970618
9/30/2021,40-44,Male,Nebraska,6006.052482
9/30/2021,40-44,Male,Nevada,10605.59443
9/30/2021,40-44,Male,New Hampshire,3558.834731
9/30/2021,40-44,Male,New Jersey,13831.73944
9/30/2021,40-44,Male,New Mexico,6957.043016
9/30/2021,40-44,Male,New York,30743.10109
9/30/2021,40-44,Male,North Carolina,31198.9604
9/30/2021,40-44,Male,North Dakota,3014.836829
9/30/2021,40-44,Male,Ohio,29788.26701
9/30/2021,40-44,Male,Oklahoma,16053.42341
9/30/2021,40-44,Male,Oregon,12380.37115
9/30/2021,40-44,Male,Pennsylvania,30336.97707
9/30/2021,40-44,Male,Puerto Rico,2253.823109
9/30/2021,40-44,Male,Rhode Island,2666.96497
9/30/2021,40-44,Male,South Carolina,17541.50691
9/30/2021,40-44,Male,Tennessee,19477.74723
9/30/2021,40-44,Male,Texas,93086.14393
9/30/2021,40-44,Male,Utah,7997.031805
9/30/2021,40-44,Male,Vermont,1498.91391
9/30/2021,40-44,Male,Virginia,40887.84074
9/30/2021,40-44,Male,Washington,28024.04949
9/30/2021,40-44,Male,West Virginia,6321.636701
9/30/2021,40-44,Male,Wisconsin,12327.47771
9/30/2021,40-44,Male,Wyoming,2396.678352
9/30/2021,45-49,Female,Alabama,4156.13368
9/30/2021,45-49,Female,Alaska,925.851699
9/30/2021,45-49,Female,Arizona,4386.914914
9/30/2021,45-49,Female,Arkansas,1689.910185
9/30/2021,45-49,Female,California,13246.53513
9/30/2021,45-49,Female,Colorado,4277.078824
9/30/2021,45-49,Female,Connecticut,1202.282446
9/30/2021,45-49,Female,Delaware,628.8162439
9/30/2021,45-49,Female,District of Columbia,386.9480572
9/30/2021,45-49,Female,Florida,15010.30321
9/30/2021,45-49,Female,Georgia,9655.078638
9/30/2021,45-49,Female,Hawaii,1297.790307
9/30/2021,45-49,Female,Idaho,1004.789206
